,Word,Count
646,disease containment strategies,1
647,electronic medical record,1
648,double blind randomized control trial,1
649,early cpap ventilation,1
650,human dental pulp stem cells,1
651,effector t cells,1
652,ecmo vv,1
653,emergency,1
654,emergency medical technicians,1
655,dosing,1
656,emergency treatment,1
657,differentiation treatment,1
658,difficulty weaning from mechanical ventilation,1
659,dyspareunia,1
660,early  warning scores,1
661,digital cardiac counseling,1
662,digital health,1
663,dilitazem,1
664,emergency physicians,1
665,emergency medicine,1
666,"economic burden, covid 19 pandemic",1
667,emergency care,1
668,emergency medical service,1
669,human centered design,1
670,emergency laparoscopy,1
671,dipyridamole,1
672,direct laryngoscope,1
673,hospitals,1
674,dutasteride,1
675,human amniotic fluid,1
676,hpv associated oropharyngeal squamous cell carcinoma,1
677,emergency departement,1
678,economic modeling,1
679,hsct,1
680,early learning intervention,1
681,educational learning games,1
682,hydroxychloroquine (hcq),1
683,dose response,1
684,eicosanoid storm,1
685,drug resistant pneumonia,1
686,disulfiram,1
687,hydroxychloroquine sulfate,1
688,hydrogen peroxide,1
689,diuretics,1
690,hplc/uv diode array,1
691,ehealth,1
692,dn tnf,1
693,egyptian,1
694,dna methylation,1
695,hypercoagulability,1
696,humanistic care,1
697,dna vaccine,1
698,dornase alfa,1
699,hypoxaemic,1
700,household,1
701,egd,1
702,doppler echo,1
703,humans,1
704,docosahexaenoic acid,1
705,household contacts of a person infected with sars cov 2,1
706,donor,1
707,drug,1
708,echocardiogram,1
709,distress,1
710,human umbilical cord derived mesenchymal stem cells,1
711,disease progression,1
712,drugs,1
713,disinfectatnts,1
714,hydrogen/oxygen mixed gas,1
715,hydrogen oxygen generator with neburlizer,1
716,human factors study,1
717,hyper inflammation,1
718,hydroxycholoroquine,1
719,early phase treatment,1
720,elderly people,1
721,hydroxychloroquine/darunavir/ritonavir,1
722,elderly patients,1
723,duration of hospital stay,1
724,duration of artificial ventilation,1
725,dissonance,1
726,eicosapentaenoic acid ethyl ester,1
727,drug use,1
728,eeg,1
729,distant learning,1
730,eating behaviours,1
731,host directed treatment,1
732,effect of drugs,1
733,ecological momentary intervention (emi),1
734,ecmo va,1
735,doxycycline,1
736,dpp4,1
737,elastance,1
738,eidd 2801,1
739,ecological momentary assessment (ema),1
740,health personnel attitude,1
741,emergent surgery,1
742,hospitalized children,1
743,functionality,1
744,functioning,1
745,galidesivir,1
746,gamma,1
747,gamma globulins,1
748,heart disease,1
749,gas exchange,1
750,heart conditions,1
751,hearing loss,1
752,gastrointestinal function,1
753,"gender, caregiving, covid 19, couple relations",1
754,gene therapy,1
755,general affect,1
756,general health questionnare,1
757,healthy volunteers,1
758,general practice,1
759,generalized anxiety,1
760,healthy carrier,1
761,healthcare workers needs,1
762,genetic polymorphism,1
763,genetic risk score,1
764,genetics,1
765,geriatric,1
766,healthcare workers emotional distress,1
767,geriatrics,1
768,hypercoagulability state,1
769,functional status,1
770,functional score,1
771,frailty,1
772,hemophagocytic lymphohistiocytosis (hlh),1
773,follow up studies,1
774,hemodynamic chracteristics,1
775,food service,1
776,football,1
777,hyperbaric oxygen therapy,1
778,hemoadsorption,1
779,foregone care,1
780,formoterol,1
781,hematology,1
782,fourth trimester,1
783,frailty syndrome,1
784,functional outcomes,1
785,hematological malignancies,1
786,hematologic malignancy,1
787,french guiana,1
788,french national cohort,1
789,frontline,1
790,helmet nonivasive ventilation,1
791,helmet interface niv,1
792,frontline healthcare workers,1
793,frozen embryos,1
794,function,1
795,functional impairment,1
796,healthcare workers burn out,1
797,hyperinflammation,1
798,gfap protein,1
799,hyperimmune plasma,1
800,haemodialysis,1
801,haemoglobin concentration,1
802,hand disinfection,1
803,hand wash,1
804,handwashing,1
805,hcm,1
806,healthcare professional's health,1
807,healthcare professional,1
808,hcw,1
809,heallthy lifestyle,1
810,health behavior change,1
811,health benefits,1
812,gynecologic cancer,1
813,health care,1
814,health care personnel,1
815,health care professionals,1
816,health care provider,1
817,health status,1
818,health coaching,1
819,health disparities,1
820,health disparity,1
821,health staff,1
822,health education,1
823,health services research,1
824,hacor score,1
825,gut microbiome,1
826,giant cell arteritis,1
827,gm csf monoclonal antibody,1
828,gilteritinib,1
829,global longitudinal strain,1
830,glucocorticoids,1
831,glucose control,1
832,glucose measurements,1
833,glue ear,1
834,glutathione,1
835,glycemic control,1
836,glycine,1
837,glycosylated ferritin,1
838,healthcare system reorganization,1
839,gm csf neutralizing scfv,1
840,gut lung axis,1
841,healthcare staff,1
842,gm csf receptor alpha,1
843,gns561,1
844,gp iib/iiia inhibitor,1
845,group treatment,1
846,gs 5734,1
847,gsk3196165,1
848,guduchi ghan vati,1
849,guided,1
850,gum arabic,1
851,gustatory disorders,1
852,fnirs,1
853,fmri,1
854,fluvoxamine,1
855,esomeprazole,1
856,hood,1
857,environmental stress,1
858,honey,1
859,environmental stressor,1
860,enzalutamide,1
861,homecare,1
862,epidemics,1
863,epigallocatechin 3 gallate,1
864,equity,1
865,home situation,1
866,escalation,1
867,home rehabilitation,1
868,environment contamination,1
869,esophageal pressure,1
870,esophagogastroduodenoscopy,1
871,home isolation,1
872,essential oils,1
873,etdrs visual acuity,1
874,"ethnic minority, health disparity, epidemiology, biomarker discovery, public health, bame, morbidity, mortality, covid 19, sars cov 2",1
875,ethnicity,1
876,ethyl epa,1
877,etoposide,1
878,home cooking,1
879,home confinement,1
880,environmental contamination,1
881,enoxaparin,1
882,home care,1
883,endoscopic ultrasound,1
884,emerging adulthood,1
885,emotional freedom technique,1
886,emotional regulation,1
887,hospitalised,1
888,hospital workers,1
889,hospital staff,1
890,hospital personnel,1
891,hospital healthcare workers,1
892,encephalopathy,1
893,endocrinology,1
894,endoscopic retrograde cholangiopancreatography,1
895,endosomal toll like receptor 3,1
896,hope,1
897,endothelial,1
898,endotheliopathy,1
899,hypogonadism,1
900,endothelium,1
901,endotracheal tube,1
902,hospital admission,1
903,endotracheal tube obstruction,1
904,endovascular procedures,1
905,hospital,1
906,energy expenditure,1
907,enhanced ppe,1
908,ett,1
909,exchange transfusion,1
910,fluoxetine,1
911,fibrinogen,1
912,hfno,1
913,fatty liver disease,1
914,herbal medicine,1
915,feasibility,1
916,fecal microbiota transplantation,1
917,ferritin,1
918,herbal drug,1
919,fertility preservation,1
920,fetus,1
921,herbal,1
922,fever,1
923,fibrinogenesis,1
924,hyperviscosity,1
925,fibrinolysis,1
926,filmarray pneumonia plus panel,1
927,henry ford hospital,1
928,financial impacts,1
929,firefighters,1
930,first responders,1
931,fit test,1
932,flourishing,1
933,flt3,1
934,flu,1
935,fluid therapy,1
936,fatigability,1
937,fatality rate,1
938,exclusive breastfeeding,1
939,"exposure, occupational",1
940,home based rehabilitation,1
941,exercise benefits and barriers,1
942,hlh,1
943,higher education students,1
944,exercise capacity,1
945,exercise endurance,1
946,exercise tolerance,1
947,expanded access program,1
948,expert consensus,1
949,exposure,1
950,exposure therapy,1
951,extreme phenotypes,1
952,high flow nasal cannula (hfnc),1
953,eye,1
954,eye movement desensitisation and reprocessing,1
955,facial trauma,1
956,facilities and services utilization,1
957,factors,1
958,families,1
959,familly,1
960,family,1
961,high intensity physical activity,1
962,family child care home providers,1
963,high flow nasal oxygenation,1
964,exosomes,1
965,zinc sulfate,1
966,differential gene expression,1
967,asymptomatic positive,1
968,atorvastatin,1
969,athlete,1
970,atazanavir,1
971,atabay,1
972,at1,1
973,at home treatment,1
974,asymptomatic infections,1
975,atypical acute respiratory distress syndrome,1
976,asthma,1
977,assay,1
978,aspergillus,1
979,aspergillosis,1
980,aspecific respiratory symptomatology,1
981,asp2215,1
982,attention deficit hyperactivity disorder,1
983,atyr1923,1
984,bacille calmette guérin,1
985,avoidance,1
986,"b cell non hodgkin‟s lymphoma involving spinal cord, and/or leptomeningeal space",1
987,açaí berry,1
988,azithromycine,1
989,axial spondyloarthritis,1
990,awareness,1
991,awake proning,1
992,auxora,1
993,autism spectrum disorder,1
994,autopsy,1
995,autonomic nervous system,1
996,autologous adipose derived stem cells (admscs) for covid 19 [nct id not yet assigned],1
997,autoantibodies,1
998,auto inflammatory diseases,1
999,auto immune diseases,1
1000,artificial nutrition,1
1001,arterial thromboembolism,1
1002,artemisinin,1
1003,antiinflammatory,1
1004,antirheumatic agents,1
1005,antiretroviral therapy,1
1006,antiparasitic agents,1
1007,antioxidant,1
1008,antimicrobial stewardship,1
1009,antimalarials,1
1010,antihypertensive medications,1
1011,arrhythmic manifestations,1
1012,antihypertensive agents,1
1013,antigen test,1
1014,antigen,1
1015,antibody titer,1
1016,antibody testing,1
1017,antibody test kit,1
1018,antithrombotic,1
1019,antithrombotic treatments,1
1020,antiviral therapy,1
1021,anxiety disorder,1
1022,anxiety disorders,1
1023,anxious,1
1024,apheresis,1
1025,apilimod dimesylate,1
1026,apolactoferrin,1
1027,app,1
1028,apple watch,1
1029,aprv,1
1030,arbidol,1
1031,arbs,1
1032,arfc,1
1033,arn,1
1034,arrhythmia,1
1035,b cell non hodgkin‟s lymphoma involving the brain,1
1036,bangladesh,1
1037,antibody and cell mediated immune responses,1
1038,body mass index,1
1039,burkholderia,1
1040,budesonide,1
1041,breastfeeding guidelines,1
1042,breast milk,1
1043,brain injury,1
1044,brain health,1
1045,body image,1
1046,c1 esterase inhibitor,1
1047,body fluids,1
1048,blood samples,1
1049,blood plasma,1
1050,blood phenotyping,1
1051,blood drop,1
1052,blood diseases,1
1053,c reactive protein,1
1054,c5a receptors,1
1055,barrier box,1
1056,cancer surgery,1
1057,cardiac surgical waiting list,1
1058,cardiac injury,1
1059,cardiac damage,1
1060,cardiac arrhythmias covid,1
1061,cardiac arrest,1
1062,cancer survivor,1
1063,cancer patients,1
1064,caesalpinia spinosa,1
1065,cancer diagnosis,1
1066,cancer care,1
1067,camostat mesylate,1
1068,camostat,1
1069,calcium release activated calcium channel (crac) inhibitors,1
1070,calcium channel blockers,1
1071,blood cord,1
1072,blood biomarkers,1
1073,blockers of angiotensin receptor,1
1074,behavior and social functioning in children,1
1075,betadine,1
1076,betacoronavirus,1
1077,belgium,1
1078,behcet's disease,1
1079,behaviour change,1
1080,behavior intentions,1
1081,bedside ultrasound,1
1082,blinded,1
1083,bcg vaccine,1
1084,bcg vaccination,1
1085,bbv152,1
1086,basic body awareness therapy,1
1087,barrier measures,1
1088,barrier device,1
1089,bevacizumab,1
1090,bhv 3500,1
1091,bidirectional oxygenation,1
1092,big data,1
1093,bio psycho social and occupational factors,1
1094,biohaven,1
1095,biological risk factor,1
1096,biological specimens,1
1097,biology of infectious agent,1
1098,biomarkers of inflammation,1
1099,biopsychosocial intervention,1
1100,biosensors,1
1101,biosynex,1
1102,bipolar depression,1
1103,birth experience,1
1104,black cummin,1
1105,black seed,1
1106,antibody formation,1
1107,"antibodies, neutralizing",1
1108,cardiometabolic phenotype,1
1109,acute hypoxic respiratory failure,1
1110,acute respiratory tract infection,1
1111,acute respiratory syndrome,1
1112,acute respiratory infection,1
1113,acute myeloid leukemia,1
1114,acute kidney injury (aki),1
1115,acute ischemic stroke related to large vessel occlusion,1
1116,acute hypoxemic respiratory failure (ahrf),1
1117,"acute stress, pharmacological impact",1
1118,acute hypoxemic respiratory failure,1
1119,acute dyspnea,1
1120,acute distress respiratory syndrome,1
1121,"acute appendicitis, covid 19",1
1122,acute appendicitis,1
1123,acurate kidney injury,1
1124,acute stress,1
1125,acz885,1
1126,advanced suturing skills,1
1127,adjuvant,1
1128,adult stem cells,1
1129,adolescents and young adults(aya),1
1130,adolescents,1
1131,adolescent; mental health; depression; suicide,1
1132,adolescence,1
1133,adn,1
1134,adipose,1
1135,ad5 ncov,1
1136,adherence to epidemiological interventions (npis),1
1137,adenovirus vector,1
1138,adenovirus,1
1139,addiction is a common disease,1
1140,adaptive immunity,1
1141,adapted physical activity,1
1142,activities of daily living,1
1143,active monitoring,1
1144,active learning,1
1145,2019 ncov (mrna 1273),1
1146,25 hydroxyvitamin d3,1
1147,2019ncov,1
1148,2019 novel coronavirus infection,1
1149,2019 novel coronavirus (2019 n cov),1
1150,2019 new coronavirus (2019ncov),1
1151,2019 ncov pneumonia,1
1152,2019 ncov (covid 19),1
1153,activated t cells,1
1154,20 187,1
1155,20 185,1
1156,20 176,1
1157,19 382,1
1158,19,1
1159,17 409,1
1160,25 oh cholecalciferol,1
1161,3d printable valve,1
1162,"50,000iu",1
1163,abx464,1
1164,access to care,1
1165,access to health care,1
1166,accuracy,1
1167,accute breathing failure,1
1168,ace 2,1
1169,ace inhibitors,1
1170,ace inhibitors drugs,1
1171,ace inibitors,1
1172,ace2 tmprss2,1
1173,acei,1
1174,"acei, arb, dri",1
1175,acetylcysteine,1
1176,acquisition protocol,1
1177,advanced coronavirus disease 2019,1
1178,adverse effects of drugs,1
1179,antibiotics saving,1
1180,angiotensin converting enzyme 2 (ace2),1
1181,angiotensin receptor blocker (arb),1
1182,angiotensin receptor blockade,1
1183,angiotensin receptor antagonists,1
1184,angiotensin receptor antagonist,1
1185,angiotensin ii receptor blockers,1
1186,angiotensin ii receptor blocker,1
1187,angiotensin converting enzyme 2,1
1188,anitgen testing,1
1189,angiotensin converting enzyme,1
1190,angiotensin 2 receptor blockers,1
1191,anger,1
1192,anemia,1
1193,anatomy,1
1194,analogue,1
1195,angiotensin receptor blocker and ace inhibitors drugs,1
1196,anluohuaxian,1
1197,adverse reactions,1
1198,"anti infective agents, local",1
1199,antibiotics,1
1200,anti viral,1
1201,anti sars cov 2 convalescent plasma,1
1202,anti sars cov 2 antibody,1
1203,anti malarials,1
1204,"anti inflammatory, and antioxidant ons",1
1205,anti infective agents,1
1206,anorexia nervosa,1
1207,anti il 1,1
1208,anti hypertensive drugs (acei's/arb),1
1209,anti c5ar,1
1210,anti bacterial agents,1
1211,anti angiogenics,1
1212,anti androgen,1
1213,amr101,1
1214,amoxicillin clavulanate,1
1215,aml,1
1216,aggrenox,1
1217,airway,1
1218,air pollution,1
1219,air contamination,1
1220,aids,1
1221,ai therapeutics,1
1222,aging in place,1
1223,aged subjects,1
